"order_id","order_date","order_priority","order_quantity","order_status","payment_method","product_name","product_category","product_sub_category","unit_price","unit_cost","discount","shipping_address","shipping_method","ship_date","ship_mode","packaging","shipping_cost","region","city","zip_code","ratings","customer_segment","customer_name","customer_age","email","phone","gender","income"
21774,"2024-08-30","Low",6,"Received","Cash","SoftRelax Cabinet","Home","Furniture","751.59","671.86","0.18","164 Brock Spur, Mendozafurt, MD 84548","Same-Day","2024-09-04","Air (Post)","Box Large","23.26","North","Lake Phillip",72625,NULL,"Home Office","Leah Lozano",45,"leah.lozano@hotmail.com","(291)770-5703x29204","Male","126026.13"
24166,"2025-03-06","Medium",10,"Received","Cash","ZenBook Pro","Electronics","Laptops","1041.30","749.18","0.45","402 Aaron Club, Stephensshire, CO 51681","Express","2025-03-09","Air (Post)","Box Large","16.43","North","Brownview",46897,NULL,"Small Business","Tonya Coleman",31,"tonya.coleman@outlook.com","538.777.0299x1274","Female","60049.27"
21321,"2024-07-26","Low",4,"Received","Cash","SoftRelax Chair","Home","Furniture","867.23","456.68","0.28","357 Welch Branch Apt. 630, North Meganstad, SC 62946","Express","2024-08-04","Air (Post)","Box Large","16.45","West","New Mary",20302,4,"Corporate","Claudia Grant",68,"claudia.grant@gmail.com","260.378.4840x614","Male","47147.51"
22003,"2024-09-16","Medium",5,"Received","Cash","TrailBlazer Tent","Sports","Outdoor","382.80","318.46","0.16","USS Price, FPO AA 04728","Express","2024-10-12","Air (Post)","Box Large","24.32","Central","Glovershire",99746,5,"Corporate","Shirley Hall",24,"shirley.hall@hotmail.com","(322)446-7278x85825","Female","133001.17"
25021,"2025-05-12","Low",10,"Shipped","Cash","Spectra Infinity","Electronics","Laptops","2558.65","1541.99","0.49","07817 Melissa Mission, Wendyfurt, PA 45045","Ordinary","2025-05-13","Ground","Box Large","43.01","East","Abbottland",90091,NULL,"Small Business","Barbara Meadows",61,"barbara.meadows@gmail.com","(702)818-2147x1772","Male","95027.90"
22427,"2024-10-22","Low",3,"Received","Cash","ProShot Ball","Sports","Indoor","251.83","152.37","0.11","80589 Corey Bypass, Port Andrea, CO 80289","Express","2024-10-25","Ground","Box Large","34.41","South","Kelliview",66568,NULL,"Small Business","Rebecca Gill",53,"rebecca.gill@gmail.com","819-229-8561x2180","Male","61335.67"
23869,"2025-02-12","Medium",1,"Received","Cash","SurfaceBook Ultra","Electronics","Laptops","2184.62","1758.23","0.24","93940 Haney Plain, Johnsonfurt, OK 40707","Ordinary","2025-02-14","Air (Post)","Box Large","22.95","North","Mitchellfurt",26873,NULL,"Consumer","Alyssa Holmes",54,"alyssa.holmes@yahoo.com","001-408-702-7644x713","Male","100595.87"
22692,"2024-11-11","Urgent",5,"Received","Cash","Breeze Pants","Clothing","Men","46.35","40.59","0.03","7930 Lisa Via Apt. 778, North Kimberlymouth, TX 55134","Express","2024-11-28","Air (Freight)","Box Large","26.11","East","New Kathy",75027,4,"Consumer","Ruth Perkins",39,"ruth.perkins@outlook.com","001-701-204-8428x909","Female","103805.53"
22910,"2024-11-29","Urgent",5,"Received","Cash","Nikon Alpha","Electronics","Cameras","1429.27","981.11","0.05","50681 Wood Haven Suite 444, South Michelleton, MP 83134","Express","2024-12-29","Ground","Box Medium","42.95","Central","West Michelle",92088,NULL,"Small Business","Alicia Perez",45,"alicia.perez@gmail.com","943-626-6764","Female","34257.28"
21126,"2024-07-08","Critical",9,"Received","Cash","Ricoh TrailCam","Electronics","Cameras","1411.06","951.81","0.33","24808 James Road Suite 643, Torresville, UT 98573","Same-Day","2024-07-23","Air (Freight)","Box Large","22.94","West","Port Carolhaven",56131,1,"Home Office","Holly Smith",60,"holly.smith@outlook.com","623.453.5190x757","Male","70119.41"
22844,"2024-11-24","Critical",1,"Received","Cash","HomeAura Diffuser","Home","Decor","194.01","165.04","0.12","3159 Werner Branch Apt. 701, East Heathershire, MI 53586","Same-Day","2024-11-27","Air (Post)","Box Large","6.38","South","North Erikachester",2431,NULL,"Home Office","Mrs. Sharon Thomas MD",25,"mrs..sharon.thomas.md@outlook.com","+1-256-959-1533x62206","Female","88350.87"
24462,"2025-03-28","Low",3,"Received","Cash","SunShield Poncho","Sports","Outdoor","480.06","399.14","0.30","006 Hernandez Ports, Lake Robert, WV 61219","Express","2025-03-29","Air (Post)","Box Large","42.73","South","Christinaview",77084,3,"Home Office","Marissa Espinoza",59,"marissa.espinoza@example.com","001-977-375-7832","Male","102443.27"
20255,"2024-04-30","Critical",10,"Received","Cash","Spectra Pro","Electronics","Laptops","1580.86","1074.71","0.16","758 Fuentes Ports, Samuelborough, MT 38380","Same-Day","2024-05-26","Ground","Box Large","32.29","North","Hamiltonborough",62188,1,"Small Business","Brooke Peters",49,"brooke.peters@hotmail.com","8542182837","Female","118569.90"
22245,"2024-10-07","Critical",5,"Received","Cash","StaminaCore Kettlebell","Sports","Fitness","124.85","107.20","0.28","105 Nicole Cape Apt. 684, Amberville, OR 31659","Ordinary","2024-10-27","Air (Post)","Box Large","30.94","South","Elizabethfurt",13936,NULL,"Corporate","Gabrielle Gutierrez",53,"gabrielle.gutierrez@gmail.com","+1-297-700-9829x4606","Female","48732.65"
22698,"2024-11-12","Urgent",2,"Received","Cash","UrbanLine Cardigan","Clothing","Women","29.15","20.96","0.40","76583 Woods Shores Apt. 303, Kingstad, NE 24607","Same-Day","2024-12-06","Ground","Box Large","22.35","East","New Brianna",9736,2,"Corporate","Amy Andrews",61,"amy.andrews@yahoo.com","(676)586-7862","Male","137117.48"
20763,"2024-06-09","High",5,"Received","Cash","Floral Jacket","Clothing","Women","113.31","77.42","0.02","34773 Hurst Brook Apt. 114, Lake Scott, AK 08581","Express","2024-06-12","Air (Post)","Box Large","17.70","South","Aprilbury",62014,NULL,"Home Office","Laura Ward",18,"laura.ward@outlook.com","479.525.5640","Female","123402.40"
20541,"2024-05-23","Medium",9,"Received","Cash","ProShot TennisSet","Sports","Indoor","302.01","255.92","0.28","88514 Carroll Key, Annaport, VT 10062","Express","2024-06-11","Air (Freight)","Box Large","35.13","Central","North Joshua",66143,NULL,"Corporate","Jane Reynolds",18,"jane.reynolds@gmail.com","9766034273","Female","87155.40"
24794,"2025-04-26","Urgent",7,"Shipped","Cash","HappyBear Shorts","Clothing","Kids","60.29","36.80","0.31","2629 Williams Overpass, Michellehaven, NV 39832","Same-Day","2025-04-28","Air (Freight)","Box Small","14.50","North","Port Amy",8530,NULL,"Consumer","Sharon Hendrix",53,"sharon.hendrix@outlook.com","(792)804-2992","Male","102704.53"
23559,"2025-01-21","Medium",8,"Received","Cash","ComfortHome Stool","Home","Furniture","940.87","771.86","0.44","83946 Charles Neck, Smithview, GA 05373","Ordinary","2025-02-09","Ground","Box Large","33.40","North","Reevesborough",56208,NULL,"Small Business","Sharon Matthews",68,"sharon.matthews@outlook.com","(249)900-6044","Male","113764.65"
24156,"2025-03-05","Low",5,"Received","Cash","StaminaCore Stepper","Sports","Fitness","129.07","97.12","0.26","215 Regina Vista Suite 146, Robertsmouth, OR 68994","Express","2025-03-21","Air (Freight)","Box Medium","22.57","East","Weaverland",47256,NULL,"Corporate","Eileen Jefferson",25,"eileen.jefferson@gmail.com","(638)391-8641","Male","131791.43"
22087,"2024-09-23","Urgent",10,"Received","Cash","SilentStep Treadmill","Sports","Indoor","252.85","200.58","0.20","09305 Schmidt Radial Apt. 488, South Michaelberg, ME 41633","Ordinary","2024-10-19","Ground","Box Large","42.82","West","Mendezmouth",14190,NULL,"Small Business","Darlene Lamb",42,"darlene.lamb@example.com","001-897-956-1740x705","Female","57574.22"
23929,"2025-02-16","Medium",5,"Received","Cash","SilentStep Treadmill","Sports","Indoor","251.21","200.80","0.27","45011 Nguyen Parks Apt. 218, North Tracy, LA 66747","Ordinary","2025-03-09","Ground","Box Large","41.97","East","Port Thomaston",52063,NULL,"Small Business","Kara Mckee",57,"kara.mckee@outlook.com","+1-574-722-1540","Female","86338.43"
21638,"2024-08-19","Medium",1,"Received","Cash","FlexiWork Table","Home","Furniture","895.36","565.46","0.44","71313 Jacob Common Apt. 837, East Carl, WV 72326","Express","2024-08-28","Ground","Box Large","30.52","Central","Reedhaven",26356,NULL,"Small Business","Kathleen Nicholson",69,"kathleen.nicholson@gmail.com","(423)814-0305","Female","100575.21"
23634,"2025-01-26","Urgent",8,"Received","Cash","GoPro FotoMark","Electronics","Cameras","1019.02","594.85","0.43","3822 Bailey Burg, West Nancy, ND 02359","Same-Day","2025-01-27","Air (Freight)","Box Large","20.79","East","West Kimberly",42220,4,"Corporate","Donna Marshall",45,"donna.marshall@yahoo.com","001-789-919-5150x3517","Female","138228.20"
23313,"2025-01-02","Urgent",3,"Received","Cash","StaminaCore Barbell","Sports","Fitness","139.84","77.53","0.24","614 Ashley Forge Apt. 267, Annfort, MA 00745","Express","2025-01-05","Air (Post)","Box Large","35.36","East","Davisville",39143,4,"Consumer","Nichole Ramirez",19,"nichole.ramirez@gmail.com","+1-917-580-1148x50337","Female","86614.38"
25233,"2025-05-30","Urgent",10,"Pending Payment","Cash","SilkElegance Jacket","Clothing","Women","60.79","53.39","0.19","22862 Ronald Trail, Matthewhaven, AL 32347","Express","2025-06-18","Air (Post)","Box Large","47.29","West","Lake Alextown",60556,NULL,"Home Office","Amy Alexander",31,"amy.alexander@gmail.com","339-238-5687x127","Male","33313.02"
20208,"2024-04-26","Urgent",9,"Received","Cash","HomeGym TennisSet","Sports","Indoor","167.83","105.90","0.11","9315 Tiffany Radial, West Lauraport, FM 65393","Express","2024-05-18","Air (Post)","Box Large","27.15","South","Lake Cynthia",32774,NULL,"Home Office","Elizabeth Sanchez",64,"elizabeth.sanchez@yahoo.com","917.615.1868x4614","Male","103715.82"
20964,"2024-06-25","Urgent",9,"Received","Cash","Breeze Shirt","Clothing","Men","33.30","24.77","0.30","4359 Russell Prairie Apt. 208, New Tanya, AK 25403","Same-Day","2024-07-14","Air (Freight)","Box Large","9.25","North","New Ashley",65313,NULL,"Home Office","Kristin Richardson",58,"kristin.richardson@yahoo.com","4523509824","Male","128550.92"
24608,"2025-04-10","Medium",1,"Shipped","Cash","AmbientGlow Cushion","Home","Decor","162.84","145.38","0.22","908 Ashley Burgs Apt. 220, Heathermouth, HI 62405","Ordinary","2025-04-27","Air (Freight)","Box Large","24.62","West","Nathanielshire",70553,NULL,"Consumer","Elizabeth Davenport",20,"elizabeth.davenport@gmail.com","6268616914","Male","147409.49"
20912,"2024-06-21","Low",8,"Received","Cash","TrailBlazer Jacket","Sports","Outdoor","387.41","283.78","0.05","016 Margaret Trail Suite 883, Solomontown, UT 03909","Express","2024-07-06","Ground","Box Large","16.94","East","Jamesfort",11476,NULL,"Home Office","Miss Amber Hendricks",47,"miss.amber.hendricks@yahoo.com","+1-285-934-6959x52803","Female","42639.94"
