Order ID,Order Date,Order Priority,Order Quantity,Order Status,Payment Method,Product Name,Product Category,Product Sub-Category,Unit Price,Unit Cost,Discount,Shipping Address,Shipping Method,Ship Date,Ship Mode,Packaging,Shipping Cost,Region,City,Zip Code,Ratings,Customer Segment,Customer Name,Customer Age,Email,Phone,Gender,Income
1,2020-01-01,Urgent,9,Received,In-App Wallet,RusticPro Sofa,Home,Furniture,1431.81,734.01,0.21,"4062 Ferguson Manors Apt. 884, Sototon, NE 01945",Express,2020-01-16,Air (Freight),Box Large,27.96,Central,Lake Benjamin,17073,,Consumer,Christina Brown,23,christina.brown@yahoo.com,(802)545-7687x05808,Female,95356.99
1,2020-01-01,Urgent,4,Received,In-App Wallet,DeepBlue Jeans,Clothing,Men,37.64,30.52,0.41,"4062 Ferguson Manors Apt. 884, Sototon, NE 01945",Express,2020-01-16,Air (Freight),Box Large,27.96,Central,Lake Benjamin,17073,,Consumer,Christina Brown,23,christina.brown@yahoo.com,(802)545-7687x05808,Female,95356.99
1,2020-01-01,Urgent,1,Received,In-App Wallet,BrightKid Sweater,Clothing,Kids,36.23,32.18,0.01,"4062 Ferguson Manors Apt. 884, Sototon, NE 01945",Express,2020-01-16,Air (Freight),Box Large,27.96,Central,Lake Benjamin,17073,,Consumer,Christina Brown,23,christina.brown@yahoo.com,(802)545-7687x05808,Female,95356.99
1,2020-01-01,Urgent,7,Received,In-App Wallet,SilentStep Runner,Sports,Indoor,302.0,195.71,0.14,"4062 Ferguson Manors Apt. 884, Sototon, NE 01945",Express,2020-01-16,Air (Freight),Box Large,27.96,Central,Lake Benjamin,17073,,Consumer,Christina Brown,23,christina.brown@yahoo.com,(802)545-7687x05808,Female,95356.99
2,2020-01-01,Medium,4,Received,Debit Card,HappyBear Pajamas,Clothing,Kids,51.24,26.37,0.32,"7103 Serrano Centers, East Eric, LA 94460",Express,2020-01-02,Air (Freight),Box Large,37.69,East,Port Michaelshire,40367,,Corporate,Tammy Bradshaw,18,tammy.bradshaw@yahoo.com,+1-984-314-2854x518,Male,48285.26
2,2020-01-01,Medium,9,Received,Debit Card,HomeAura Lamp,Home,Decor,197.65,129.54,0.31,"7103 Serrano Centers, East Eric, LA 94460",Express,2020-01-02,Air (Freight),Box Large,37.69,East,Port Michaelshire,40367,,Corporate,Tammy Bradshaw,18,tammy.bradshaw@yahoo.com,+1-984-314-2854x518,Male,48285.26
2,2020-01-01,Medium,10,Received,Debit Card,HomeGym TennisSet,Sports,Indoor,424.03,286.67,0.11,"7103 Serrano Centers, East Eric, LA 94460",Express,2020-01-02,Air (Freight),Box Large,37.69,East,Port Michaelshire,40367,,Corporate,Tammy Bradshaw,18,tammy.bradshaw@yahoo.com,+1-984-314-2854x518,Male,48285.26
2,2020-01-01,Medium,10,Received,Debit Card,LittleStar Jeans,Clothing,Kids,46.13,28.6,0.46,"7103 Serrano Centers, East Eric, LA 94460",Express,2020-01-02,Air (Freight),Box Large,37.69,East,Port Michaelshire,40367,,Corporate,Tammy Bradshaw,18,tammy.bradshaw@yahoo.com,+1-984-314-2854x518,Male,48285.26
2,2020-01-01,Medium,3,Received,Debit Card,TrailBlazer Bottle,Sports,Outdoor,559.1,292.49,0.14,"7103 Serrano Centers, East Eric, LA 94460",Express,2020-01-02,Air (Freight),Box Large,37.69,East,Port Michaelshire,40367,,Corporate,Tammy Bradshaw,18,tammy.bradshaw@yahoo.com,+1-984-314-2854x518,Male,48285.26
3,2020-01-01,Low,1,Received,Credit Card,Classic Shirt,Clothing,Men,52.66,31.19,0.21,"804 Debbie Drive, Aprilton, MA 47433",Ordinary,2020-01-19,Air (Post),Box Large,45.08,West,Lake David,40570,,Consumer,Dawn Gonzalez,54,dawn.gonzalez@outlook.com,454.842.5583,Male,111040.12
3,2020-01-01,Low,1,Received,Credit Card,IronLift Stepper,Sports,Fitness,137.45,117.75,0.48,"804 Debbie Drive, Aprilton, MA 47433",Ordinary,2020-01-19,Air (Post),Box Large,45.08,West,Lake David,40570,1,Consumer,Dawn Gonzalez,54,dawn.gonzalez@outlook.com,454.842.5583,Male,111040.12
3,2020-01-01,Low,1,Received,Credit Card,Rainbow Tee,Clothing,Kids,31.27,22.37,0.15,"804 Debbie Drive, Aprilton, MA 47433",Ordinary,2020-01-19,Air (Post),Box Large,45.08,West,Lake David,40570,,Consumer,Dawn Gonzalez,54,dawn.gonzalez@outlook.com,454.842.5583,Male,111040.12
3,2020-01-01,Low,7,Received,Credit Card,ComfortFit Blouse,Clothing,Women,85.34,71.89,0.23,"804 Debbie Drive, Aprilton, MA 47433",Ordinary,2020-01-19,Air (Post),Box Large,45.08,West,Lake David,40570,,Consumer,Dawn Gonzalez,54,dawn.gonzalez@outlook.com,454.842.5583,Male,111040.12
3,2020-01-01,Low,9,Received,Credit Card,GymMaster Rope,Sports,Fitness,146.83,116.29,0.2,"804 Debbie Drive, Aprilton, MA 47433",Ordinary,2020-01-19,Air (Post),Box Large,45.08,West,Lake David,40570,5,Consumer,Dawn Gonzalez,54,dawn.gonzalez@outlook.com,454.842.5583,Male,111040.12
4,2020-01-01,Critical,6,Received,Cash,IronLift Band,Sports,Fitness,233.29,163.33,0.28,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,5,Received,Cash,ModernArt Frame,Home,Decor,205.97,148.05,0.46,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,5,Received,Cash,PureScent Diffuser,Home,Decor,151.15,133.64,0.14,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,8,Received,Cash,EverTrack Stove,Sports,Outdoor,609.35,378.56,0.11,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,8,Received,Cash,SteelChef Juicer,Home,Kitchen,143.44,84.32,0.03,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,2,Received,Cash,BrightKid Jeans,Clothing,Kids,53.91,44.32,0.01,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,10,Received,Cash,FujiFilm Rapid,Electronics,Cameras,1758.1,1008.53,0.16,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,8,Received,Cash,Redmi Pro,Electronics,Mobile Phones,736.15,472.32,0.33,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
4,2020-01-01,Critical,7,Received,Cash,StaminaCore Rope,Sports,Fitness,153.75,114.66,0.14,"489 Stephens Turnpike Suite 946, East Mckenzieton, AS 65010",Express,2020-01-06,Air (Freight),Box Large,30.3,West,Caldwellview,70972,3,Small Business,Laura Rios,50,laura.rios@gmail.com,001-609-853-8841,Male,95889.46
5,2020-01-01,Urgent,3,Received,Credit Card,NitroBlade Vision,Electronics,Laptops,1405.88,1202.38,0.05,"723 Clements Loaf, West Lesliemouth, MT 86812",Same-Day,2020-01-26,Air (Post),Box Large,47.89,South,Jacksonton,84098,,Corporate,Lydia Vargas,32,lydia.vargas@outlook.com,571-944-4542x06346,Female,72549.08
5,2020-01-01,Urgent,10,Received,Credit Card,FlexPro Stepper,Sports,Fitness,154.09,132.49,0.02,"723 Clements Loaf, West Lesliemouth, MT 86812",Same-Day,2020-01-26,Air (Post),Box Large,47.89,South,Jacksonton,84098,,Corporate,Lydia Vargas,32,lydia.vargas@outlook.com,571-944-4542x06346,Female,72549.08
5,2020-01-01,Urgent,8,Received,Credit Card,RusticPro Stool,Home,Furniture,948.06,507.84,0.21,"723 Clements Loaf, West Lesliemouth, MT 86812",Same-Day,2020-01-26,Air (Post),Box Large,47.89,South,Jacksonton,84098,,Corporate,Lydia Vargas,32,lydia.vargas@outlook.com,571-944-4542x06346,Female,72549.08
5,2020-01-01,Urgent,5,Received,Credit Card,Floral Dress,Clothing,Women,55.47,44.31,0.03,"723 Clements Loaf, West Lesliemouth, MT 86812",Same-Day,2020-01-26,Air (Post),Box Large,47.89,South,Jacksonton,84098,,Corporate,Lydia Vargas,32,lydia.vargas@outlook.com,571-944-4542x06346,Female,72549.08
6,2020-01-01,Urgent,2,Received,Cash,IdeaPad Creator,Electronics,Laptops,2094.68,1310.29,0.13,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
6,2020-01-01,Urgent,10,Received,Cash,PixelOne Max,Electronics,Mobile Phones,954.16,790.52,0.36,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
6,2020-01-01,Urgent,8,Received,Cash,GymMaster Band,Sports,Fitness,100.61,71.66,0.35,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
